Data;
24/04/2024;"BASE TECNOLÓGICA:
Aplica correções e melhorias a partir da validação e depuração do código de integração do web services, conforme necessidades do projeto. OBSERVAÇÕES:
Foi necessário retomar as atividades com o Desafio Liga Jovem Sebrae 2024, pois houve um problema com o cadastro dos alunos nas equipes e foi preciso refazer o cadastro das equipes."
25/04/2024;"BASE TECNOLÓGICA:
Consome serviços web por meio do aplicativo de acordo com funcionalidades da plataforma mobile. OBSERVAÇÕES:
Alunos não compareceram no espaço conexão, pois estavam em atividade esportiva no bairro aeroporto, por isso não foi possível realizar a chamada."
26/04/2024;"BASE TECNOLÓGICA:
Consome serviços web por meio do aplicativo de acordo com funcionalidades da plataforma mobile. OBSERVAÇÕES:
Reorganização e instruções do Desafio Liga Jovem Sebrae 2024; Retomada de atividades com desenvolvimento de códigos."
29/04/2024;"BASE TECNOLÓGICA:
Consome serviços web por meio do aplicativo de acordo com funcionalidades da plataforma mobile. OBSERVAÇÕES:
Continuação da reorganização do Desafio Liga Jovem Sebrae 2024. Consegui encontrar os códigos das equipes que não estavam aparecendo pra mim, pelos links https:--inscricao.desafioligajovem.com.br-orientador-equipe-info-3224 e https:--inscricao.desafioligajovem.com.br-orientador-equipe-info-3238, com isso consegui excluir todas as equipes que criei equivocadamente pelo projeto CRIA, para inscrever corretamente os alunos do projeto INSPIRA."
30/04/2024;"BASE TECNOLÓGICA:
Realiza autenticação a partir de serviços web públicos e redes sociais de acordo com funcionalidades da plataforma mobile. OBSERVAÇÕES:
Configuração do proxy do Android Studio e download do SDK Manager para uso no mesmo."
02/05/2024;"BASE TECNOLÓGICA:
Consome serviços web por meio do aplicativo de acordo com funcionalidades da plataforma mobile. OBSERVAÇÕES:
Continuação da preparação do android studio."
03/05/2024;"BASE TECNOLÓGICA:
Realiza autenticação a partir de serviços web públicos e redes sociais de acordo com funcionalidades da plataforma mobile. OBSERVAÇÕES:
Criação do primeiro projeto no Android Studio e planejamento de aula invertida para este final de semana os alunos passarem analisando situações problema e estudando casos cotidianos que acontecem em suas vidas, para recolhimento dos resultados das análises na próxima segunda-feira."
06/05/2024;"BASE TECNOLÓGICA:
Integra recursos nativos do dispositivo, de acordo com as necessidades do aplicativo e as características do sistema mobile. OBSERVAÇÕES:
Aula sobre preparação do celular de cada aluno para uso com Android Studio, cujas ""opções do desenvolvedor"" foram ativadas em cada celular de cada aluno com celular android, mais especificamente as opções: a) Desbloqueio de OEM; b) Depuração USB; c) Instalação via USB e d) Depuração USB (Modo de segurança). Obs: alunos com celulares iphone irão utilizar o emulador do Android Studio ou tablet do Senac. ALUNOS CIENTES DAS OPÇÕES ATIVADAS E ORIENTADOS A DESATIVAR AS ""OPÇÕES DO DESENVOLVEDOR"" FORA DO AMBIENTE DE APRENDIZAGEM DO SESC, CASO NECESSÁRIO, ASSIM COMO ORIENTADOS A TOMAR MAIS CUIDADO COM MENSAGENS SUSPEITAS NO APARELHO. Tablets solicitados para coordenação do Senac para uso nas aulas exclusivamente desta turma."
07/05/2024;"BASE TECNOLÓGICA:
Aplica correções e melhorias a partir da validação e depuração do código de integração do web services, conforme necessidades do projeto. OBSERVAÇÕES:
Configuração do proxy do projeto realizada com sucesso."
08/05/2024;"BASE TECNOLÓGICA:
Realiza autenticação a partir de serviços web públicos e redes sociais de acordo com funcionalidades da plataforma mobile. OBSERVAÇÕES:
Instalação do celular no Android Studio sem sucesso, pois alguns alunos não trouxeram o cabo usb. Os alunos que trouxeram, alguns conseguiram e outros não, pois nem todos os cabos são para dados. Os alunos que trouxeram o cabo, mas não funcionou, foram orientados a substituir seus cabos por outros cabos de dados e trazer na próxima aula. Tentativa de instalação de emulador de celular sem sucesso, pois a internet do espaço conexão falhou várias vezes e não foi possível exibir o projeto inicial em funcionamento."
